previsto,real,diferenca,mapeMes=13.295476251718949
36396.57982834756,39395.07000000001,-2998.4901716524473
33527.558675273656,32871.78,655.7786752736574
26233.535107327996,22911.4,3322.135107327995
30327.020707350373,27104.73,3222.290707350374
28048.143562387526,24658.7,3389.443562387525
40843.688484660386,53892.62,-13048.931515339616
36738.52668861627,37783.45,-1044.9233113837254
37777.22064670503,36722.32,1054.9006467050276
37986.476763836145,38115.45999999999,-128.98323616384732
41566.86965010166,47594.07,-6027.2003498983395
33821.63454258978,34042.03,-220.3954574102172
30718.032984167934,26710.93,4007.1029841679338
29527.71933366537,26141.38,3386.339333665368
42420.2523924458,49451.8,-7031.547607554203
42094.19042551637,44937.03,-2842.8395744836307
38369.40081787587,40157.36,-1787.9591821241338
30901.53375469774,29230.77,1670.7637546977385
25180.166354346573,21844.41,3335.756354346573
32823.67481809169,31704.41,1119.2648180916913
26527.822585123777,20169.28,6358.542585123778
34929.34329926103,35511.65000000001,-582.3067007389764
45338.03800494194,46970.69,-1632.6519950580623
46600.76005912662,53400.95,-6800.189940873381
33527.558675273656,32589.94,937.6186752736576
35327.45785076976,36237.15000000001,-909.6921492302499
37795.09624603808,42700.15,-4905.053753961918
33527.558675273656,33482.46,45.098675273657136
36315.1960053581,37788.6,-1473.4039946418998
42736.32634473562,50026.75,-7290.423655264378
36346.37641766369,37649.78,-1303.4035823363083
48444.43595666528,59266.72,-10822.284043334723
36058.194294077155,71825.66999999998,-35767.47570592283
38049.27021431684,40064.84,-2015.569785683154
45498.79300013661,49745.28,-4246.486999863388
31848.79787821114,30854.31,994.4878782111373
37564.829559504986,38941.69,-1376.8604404950165
40668.1928602016,41448.41,-780.2171397984057
33879.71926802695,34392.66,-512.9407319730526
33527.558675273656,33174.23,353.32867527365306
43034.84446463943,65645.84,-22610.99553536057
44537.07823209047,48254.8,-3717.721767909534
41650.18147968352,44877.81,-3227.6285203164807
37915.63898015857,41119.32,-3203.6810198414314
44366.20355351329,45168.48,-802.2764464867141
34387.58755416393,34573.56,-185.97244583606516
33922.44577509642,42405.62,-8483.174224903581
38557.022506561276,43875.79,-5318.767493438725
45258.74834195852,32764.44,12494.30834195852
37034.06031701446,36139.33,894.7303170144587
